# Real Sun + 8 planets + moons. Planets: JPL SSD Keplerian
# Elements for Approximate Positions of the Major Planets, J2000.
# Moons: JPL SSD Planetary Satellite Mean Elements
# (ssd.jpl.nasa.gov/sats/elem/) and Physical Parameters
# (ssd.jpl.nasa.gov/sats/phys_par/). Elements are given relative to
# the ecliptic (pole_ra/pole_dec empty) or a local Laplace/equatorial
# plane (pole_ra/pole_dec given), per each source table's own stated
# frame; see src/Applications/Helper/README.md's Pole section.
# Default epoch (epoch_jd empty): J2000, JD 2451545.0.
#
# Moons with no individually measured mass or radius (most of the
# small, irregular, captured moons -- JPL does not publish precise
# values for these) use an estimated 5 km radius and
# 1500 kg/m^3 density (a typical rocky/icy small-body value).
# This is a real, documented approximation, not a measurement; these
# bodies are gravitationally negligible to the system either way, so
# it affects only their rendered scale, not the dynamics.
name,parent,mass_kg,radius_km,color_r,color_g,color_b,semi_major_axis_km,eccentricity,inclination_deg,longitude_of_ascending_node_deg,argument_of_periapsis_deg,mean_anomaly_deg,pole_ra_deg,pole_dec_deg,epoch_jd
Sun,,1.988409870698051e30,695700,1.0,0.85,0.3,,,,,,,,,
Mercury,Sun,3.3011e+23,2439.7,0.62,0.59,0.55,57909226.542,0.20563593,7.00497902,48.33076593,29.12703035,174.79252722,,,
Venus,Sun,4.8675e+24,6051.8,0.92,0.77,0.42,108209474.537,0.00677672,3.39467605,76.67984255,54.92262463,50.37663232,,,
Earth,Sun,5.972167867791379e+24,6371.0,0.25,0.45,0.85,149598261.15,0.01671123,1.531e-05,0.0,102.93768193,357.52688973,,,
Mars,Sun,6.4171e+23,3389.5,0.8,0.35,0.2,227943822.428,0.0933941,1.84969142,49.55953891,286.4968315,19.39019754,,,
Jupiter,Sun,1.8982e+27,69911,0.82,0.68,0.52,778340816.693,0.04838624,1.30439695,100.47390909,274.25457074,19.66796068,,,
Saturn,Sun,5.6834e+26,58232,0.88,0.8,0.55,1426666414.18,0.05386179,2.48599187,113.66242448,338.93645383,317.35536592,,,
Uranus,Sun,8.681e+25,25362,0.55,0.85,0.9,2870658170.656,0.04725744,0.77263783,74.01692503,96.93735127,142.28382821,,,
Neptune,Sun,1.02409e+26,24622,0.25,0.35,0.85,4498396417.009,0.00859048,1.77004347,131.78422574,273.18053653,259.91520804,,,
Moon,Earth,7.345789e+22,1737.4,0.7,0.7,0.68,384400.0,0.0554,5.16,125.08,318.15,135.27,,,
Phobos,Mars,1.061834e+16,11.08,0.5,0.45,0.4,9375.0,0.015,1.1,169.2,216.3,189.7,317.7,52.9,
Deimos,Mars,1.441350e+15,6.2,0.55,0.5,0.45,23457.0,0.0,1.8,54.3,0.0,205.0,316.6,53.5,
Io,Jupiter,8.929649e+22,1821.49,0.85,0.75,0.35,421800.0,0.004,0.0,0.0,49.1,330.9,268.1,64.5,
Europa,Jupiter,4.798574e+22,1560.8,0.75,0.7,0.65,671100.0,0.009,0.5,184.0,45.0,345.4,268.1,64.5,
Ganymede,Jupiter,1.481479e+23,2631.2,0.55,0.5,0.48,1070400.0,0.001,0.2,58.5,198.3,324.8,268.2,64.6,
Callisto,Jupiter,1.075661e+23,2410.3,0.4,0.38,0.35,1882700.0,0.007,0.3,309.1,43.8,87.4,268.7,64.8,
Amalthea,Jupiter,2.465577e+18,83.5,0.6,0.58,0.55,181400.0,0.003,0.4,282.9,180.1,310.6,268.1,64.5,
Thebe,Jupiter,4.517328e+17,49.3,0.6,0.58,0.55,221900.0,0.018,1.1,340.4,26.6,182.1,268.1,64.5,
Adrastea,Jupiter,2.097598e+15,8.2,0.6,0.58,0.55,129000.0,0.0,0.0,0.0,0.0,214.5,268.1,64.5,
Metis,Jupiter,3.745711e+16,21.5,0.6,0.58,0.55,128000.0,0.0,0.0,0.0,0.0,166.0,268.1,64.5,
Himalia,Jupiter,2.270650e+18,85.0,0.6,0.58,0.55,11439000,0.16,28.4,64.2,321.1,78.3,,,
Elara,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,11710700,0.212,27.8,112.8,129.9,346.9,,,
Pasiphae,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23463200,0.412,148.3,315.7,172.8,279.3,,,
Sinope,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23679300,0.262,157.3,308.0,354.3,157.4,,,
Lysithea,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,11699100,0.117,27.7,9.2,48.3,328.5,,,
Carme,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23139200,0.261,164.6,115.5,6.5,259.5,,,
Ananke,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,21029500,0.238,147.6,13.7,78.8,271.7,,,
Leda,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,11145200,0.162,28.2,216.9,271.3,232.6,,,
Callirrhoe,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23789400,0.29,144.9,278.2,13.5,117.9,,,
Themisto,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,7397000,0.257,44.3,202.7,236.3,289.1,,,
Magaclite,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23640100,0.421,149.9,292.2,309.9,116.1,,,
Taygete,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23103400,0.257,164.7,300.8,207.7,116.5,,,
Chaldene,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,22926300,0.261,164.7,134.5,231.6,275.3,,,
Harpalyke,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,20887500,0.239,147.8,35.6,104.3,255.4,,,
Kalyke,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23298000,0.261,164.7,37.7,240.5,224.9,,,
Iocaste,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,21062300,0.223,148.7,268.9,91.4,182.0,,,
Erinome,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23027200,0.272,164.3,311.2,359.9,273.1,,,
Isonoe,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,22976300,0.249,164.9,134.1,131.0,116.3,,,
Praxidike,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,20931100,0.245,148.2,281.3,182.5,128.0,,,
Autonoe,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23785200,0.326,150.7,264.8,61.2,134.0,,,
Thyone,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,20972700,0.235,147.6,240.8,105.1,242.5,,,
Hermippe,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,21103600,0.22,150.2,330.3,277.2,158.6,,,
Aitne,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23059400,0.273,164.5,358.4,72.2,120.6,,,
Eurydome,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,22894500,0.287,148.9,297.7,223.4,281.8,,,
Euanthe,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,20822900,0.243,148.1,265.2,312.4,353.5,,,
Euporie,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,19261900,0.148,145.5,63.4,109.5,56.4,,,
Orthosie,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,20897800,0.294,144.2,212.4,244.7,161.1,,,
Sponde,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23538700,0.323,149.4,109.3,56.6,177.4,,,
Kale,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23047800,0.262,164.6,56.7,69.2,175.9,,,
Pasithee,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,22840800,0.274,164.5,318.0,207.9,237.8,,,
Hegemone,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23342600,0.357,152.5,311.5,192.2,241.1,,,
Mneme,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,20815800,0.24,147.8,0.9,50.1,236.1,,,
Aoede,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23773100,0.437,155.7,156.5,43.1,207.6,,,
Thelxinoe,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,20972300,0.229,150.7,174.9,307.0,275.1,,,
Arche,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23093200,0.263,164.5,333.3,172.5,34.0,,,
Kallichore,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23017100,0.253,164.7,23.9,352.6,66.8,,,
Helike,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,20911400,0.155,154.4,94.6,305.1,45.8,,,
Carpo,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,17039500,0.415,53.3,52.1,90.5,336.6,,,
Eukelade,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23062400,0.274,164.7,200.4,290.1,234.2,,,
Cyllene,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23650000,0.421,146.8,253.6,174.6,153.3,,,
Kore,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,24203300,0.338,141.7,324.2,135.3,40.6,,,
Herse,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23146700,0.258,164.4,299.5,344.1,123.1,,,
S2010_J_1,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,23185600,0.256,164.5,284.7,175.6,183.4,,,
S2010_J_2,Jupiter,7.853982e+14,5.0,0.55,0.53,0.5,20786900,0.244,148.0,357.3,28.8,292.5,,,
Mimas,Saturn,3.750940e+19,198.2,0.65,0.63,0.6,186000,0.02,1.6,66.2,160.4,275.3,40.6,83.5,
Enceladus,Saturn,1.080319e+20,252.1,0.9,0.9,0.92,238400,0.005,0.0,0.0,119.5,57.0,40.6,83.5,
Tethys,Saturn,6.174959e+20,531.1,0.6,0.58,0.55,295000,0.001,1.1,273.0,335.3,0.0,40.6,83.5,
Dione,Saturn,1.095487e+21,561.4,0.6,0.58,0.55,377700,0.002,0.0,0.0,116.0,212.0,40.6,83.5,
Rhea,Saturn,2.306485e+21,763.5,0.7,0.7,0.68,527200,0.001,0.3,133.7,44.3,31.5,40.6,83.5,
Titan,Saturn,1.345180e+23,2574.76,0.8,0.65,0.35,1221900,0.029,0.3,78.6,78.3,11.7,36.4,84.0,
Hyperion,Saturn,5.550994e+18,135.0,0.6,0.58,0.55,1481500,0.105,0.6,87.1,214.0,122.9,40.2,83.6,
Iapetus,Saturn,1.805659e+21,734.3,0.5,0.45,0.4,3561700,0.028,7.6,86.5,254.5,74.8,288.7,78.9,
Phoebe,Saturn,8.312332e+18,106.5,0.6,0.58,0.55,12929400,0.164,175.2,192.7,240.3,308.0,276.0,67.5,
Helene,Saturn,7.191765e+15,18.0,0.6,0.58,0.55,377600,0.007,0.2,260.8,194.3,-64.5,40.6,83.5,
Telesto,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,295000,0.001,1.2,242.1,66.2,360.0,40.6,83.5,
Calypso,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,295000,0.001,1.5,326.6,221.6,-0.0,40.6,83.5,
Methone,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,194700,0.002,0.0,0.0,315.5,0.0,40.6,83.5,
Polydeuces,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,377600,0.019,0.2,167.5,94.1,359.0,40.6,83.5,
Janus,Saturn,1.897128e+18,89.2,0.6,0.58,0.55,151500,0.007,0.2,159.9,11.1,111.7,40.6,83.5,
